"url","nombreFinal","ext","alt","nUsos","usos"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69330e57f55c300bca9c4655_Location.svg","location.svg","svg","","1","vivo:contact-us.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69388c52b4abd2fbfb35e629_HeroImage%20About-p-1080.webp","heroimage-about-p-1080.webp","webp","Man and woman wearing white holding shovels, woman also wears a white safety helmet and orange gloves.","4","html:about.html | vivo:about.html | vivo:about.html | vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69388c52b4abd2fbfb35e629_HeroImage%20About-p-500.webp","heroimage-about-p-500.webp","webp","","4","html:about.html | vivo:about.html | vivo:about.html | vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69388c52b4abd2fbfb35e629_HeroImage%20About-p-800.webp","heroimage-about-p-800.webp","webp","","4","html:about.html | vivo:about.html | vivo:about.html | vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69388c52b4abd2fbfb35e629_HeroImage%20About.webp","heroimage-about.webp","webp","","4","html:about.html | vivo:about.html | vivo:about.html | vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939ab4df60b345f8d9b6441_CTA%20Footer%20Image.webp","cta-footer-image.webp","webp","","4","css:outdoorliving-shared.efeeddf43.min.css | css:outdoorliving-shared.efeeddf43.min.css | html:estimator/index.C0oxWGe_.css | html:estimator/index.C0oxWGe_.css"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939abcb249720f8fb91c9a5_Testimonial%20Image.webp","testimonial-image.webp","webp","","2","css:outdoorliving-shared.efeeddf43.min.css | html:estimator/index.C0oxWGe_.css"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939ad033809554fd11eb8ec_AnimatedDivs%20Image.webp","animateddivs-image.webp","webp","","9","css:outdoorliving-shared.efeeddf43.min.css | css:outdoorliving-shared.efeeddf43.min.css | css:outdoorliving-shared.efeeddf43.min.css | css:outdoorliving-shared.efeeddf43.min.css | css:outdoorliving-shared.efeeddf43.min.css | html:estimator/index.C0oxWGe_.css | html:estimator/index.C0oxWGe_.css | html:estimator/index.C0oxWGe_.css | html:estimator/index.C0oxWGe_.css"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939cf209e1b8944bdb5642b_Design2-p-1080.webp","design2-p-1080.webp","webp","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939cf209e1b8944bdb5642b_Design2-p-1600.webp","design2-p-1600.webp","webp","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939cf209e1b8944bdb5642b_Design2-p-500.webp","design2-p-500.webp","webp","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939cf209e1b8944bdb5642b_Design2-p-800.webp","design2-p-800.webp","webp","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939cf209e1b8944bdb5642b_Design2.webp","design2.webp","webp","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939d07c36f86b39deaaec3b_Design3-p-1080.webp","design3-p-1080.webp","webp","Completed outdoor living project featuring a modern pool, pergola, and tropical landscaping in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939d07c36f86b39deaaec3b_Design3-p-1600.webp","design3-p-1600.webp","webp","Completed outdoor living project featuring a modern pool, pergola, and tropical landscaping in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939d07c36f86b39deaaec3b_Design3-p-500.webp","design3-p-500.webp","webp","Completed outdoor living project featuring a modern pool, pergola, and tropical landscaping in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939d07c36f86b39deaaec3b_Design3-p-800.webp","design3-p-800.webp","webp","Completed outdoor living project featuring a modern pool, pergola, and tropical landscaping in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6939d07c36f86b39deaaec3b_Design3.webp","design3.webp","webp","Completed outdoor living project featuring a modern pool, pergola, and tropical landscaping in Florida","2","vivo:country_custom-pool-builders-alachua-county-fl.html | css:outdoorliving-shared.efeeddf43.min.css"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69400874f625f58dc1f7a652_WhereWeServe%20Image-p-500.webp","whereweserve-image-p-500.webp","webp","Split view showing a city skyline beyond a lush green forest with a calm river on the left, and tall beachfront buildings along a sandy coast at sunset on the right.","1","vivo:where-we-serve.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69400874f625f58dc1f7a652_WhereWeServe%20Image-p-800.webp","whereweserve-image-p-800.webp","webp","Split view showing a city skyline beyond a lush green forest with a calm river on the left, and tall beachfront buildings along a sandy coast at sunset on the right.","1","vivo:where-we-serve.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69400874f625f58dc1f7a652_WhereWeServe%20Image.webp","whereweserve-image.webp","webp","Split view showing a city skyline beyond a lush green forest with a calm river on the left, and tall beachfront buildings along a sandy coast at sunset on the right.","1","vivo:where-we-serve.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940abfe73685378deade9a6_Adobe%20Express%20-%20file-p-1080.webp","adobe-express-file-p-1080.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940abfe73685378deade9a6_Adobe%20Express%20-%20file-p-500.webp","adobe-express-file-p-500.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940abfe73685378deade9a6_Adobe%20Express%20-%20file-p-800.webp","adobe-express-file-p-800.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940abfe73685378deade9a6_Adobe%20Express%20-%20file.webp","adobe-express-file.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940ac69b96f9552d42a3fee_Adobe%20Express%20-%20file%20(1)-p-1080.webp","adobe-express-file-1-p-1080.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940ac69b96f9552d42a3fee_Adobe%20Express%20-%20file%20(1)-p-500.webp","adobe-express-file-1-p-500.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940ac69b96f9552d42a3fee_Adobe%20Express%20-%20file%20(1)-p-800.webp","adobe-express-file-1-p-800.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940ac69b96f9552d42a3fee_Adobe%20Express%20-%20file%20(1).webp","adobe-express-file-1-.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb2ffce27550ce1dd45_Adobe%20Express%20-%20file%20(3)-p-1080.webp","adobe-express-file-3-p-1080.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb2ffce27550ce1dd45_Adobe%20Express%20-%20file%20(3)-p-500.webp","adobe-express-file-3-p-500.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb2ffce27550ce1dd45_Adobe%20Express%20-%20file%20(3)-p-800.webp","adobe-express-file-3-p-800.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb2ffce27550ce1dd45_Adobe%20Express%20-%20file%20(3).webp","adobe-express-file-3-.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb345281951693d5894_Adobe%20Express%20-%20file%20(2)-p-1080.webp","adobe-express-file-2-p-1080.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb345281951693d5894_Adobe%20Express%20-%20file%20(2)-p-500.webp","adobe-express-file-2-p-500.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb345281951693d5894_Adobe%20Express%20-%20file%20(2)-p-800.webp","adobe-express-file-2-p-800.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb345281951693d5894_Adobe%20Express%20-%20file%20(2).webp","adobe-express-file-2-.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb5832c04bcf5bdee1b_Adobe%20Express%20-%20file%20(5)-p-1080.webp","adobe-express-file-5-p-1080.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb5832c04bcf5bdee1b_Adobe%20Express%20-%20file%20(5)-p-500.webp","adobe-express-file-5-p-500.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/6940adb5832c04bcf5bdee1b_Adobe%20Express%20-%20file%20(5)-p-800.webp","adobe-express-file-5-p-800.webp","webp","","1","vivo:pool-builders_alachua-florida.html"
