Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,ID Brochure
Aluminum Pergolas,aluminum-pergolas,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572983,false,false,Mon May 04 2026 19:55:38 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:45:59 GMT+0000 (Coordinated Universal Time),,pergolas
Automated Irrigation,automated-irrigation,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572984,false,false,Mon May 04 2026 19:55:51 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:06 GMT+0000 (Coordinated Universal Time),,irrigation
Custom Decks,custom-decks,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572985,false,false,Mon May 04 2026 19:56:01 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:11 GMT+0000 (Coordinated Universal Time),,decks
Louvered Roof Systems,louvered-roof-systems,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572986,false,false,Mon May 04 2026 19:56:14 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:17 GMT+0000 (Coordinated Universal Time),,louvered
Outdoor Kitchens,outdoor-kitchens,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572987,false,false,Mon May 04 2026 19:56:24 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:22 GMT+0000 (Coordinated Universal Time),,kitchens
Patio Screen Rooms,patio-screen-rooms,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572988,false,false,Mon May 04 2026 19:56:33 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:36 GMT+0000 (Coordinated Universal Time),,screen
Pool Construction and Remodeling,pool-construction-and-remodeling,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572989,false,false,Mon May 04 2026 19:57:12 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:43 GMT+0000 (Coordinated Universal Time),,construction
Pool Screen Enclosures,pool-screen-enclosures,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57298a,false,false,Mon May 04 2026 19:58:42 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:46:52 GMT+0000 (Coordinated Universal Time),,enclosures
Retractable Screens,retractable-screens,6a8f67a39235e3662e5723fc,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57298b,false,false,Mon May 04 2026 20:00:35 GMT+0000 (Coordinated Universal Time),Wed May 13 2026 17:47:05 GMT+0000 (Coordinated Universal Time),,retractable
