Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Feature
Outdoor Living,outdoor-living,6a8f67a39235e3662e57231b,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e5728c6,false,false,Wed Dec 17 2025 00:56:58 GMT+0000 (Coordinated Universal Time),Thu Apr 23 2026 18:19:43 GMT+0000 (Coordinated Universal Time),,true
Patio Cover,patio-cover,6a8f67a39235e3662e57231b,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e5728c7,false,false,Wed Dec 17 2025 00:56:51 GMT+0000 (Coordinated Universal Time),Wed Dec 17 2025 00:57:21 GMT+0000 (Coordinated Universal Time),,false
Pool Solutions,pool-spa,6a8f67a39235e3662e57231b,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e5728c8,false,false,Wed Dec 17 2025 00:56:38 GMT+0000 (Coordinated Universal Time),Fri Apr 24 2026 17:24:44 GMT+0000 (Coordinated Universal Time),,true
